"ClusterID","File-Name","Cluster","Group","PD-1"
5708,"RR_P73_CD3+_7500","CD4 Th17 CM","R/R",0.000951678677349609
5710,"RR_P73_CD3+_7500","CD4 Th2 CM (1)","R/R",0.0236361906301109
5723,"RR_P73_CD3+_7500","CD8 Tc1 EM (1)","R/R",0.00208312206465195
5724,"RR_P73_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.50183675905616
5732,"RR_P73_CD3+_7500","CD4 Th1 EM GrB+","R/R",1.26337940877293
5739,"RR_P73_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",0.245512763969018
5740,"RR_P73_CD3+_7500","CD4 Th2-like EM","R/R",0.0016001169927698
5704,"RR_P76_CD3+_7500","CD4 non-classical Th1 EM GrB+","R/R",2.55863653052321
5708,"RR_P76_CD3+_7500","CD4 Th17 CM","R/R",0.886826022521598
5710,"RR_P76_CD3+_7500","CD4 Th2 CM (1)","R/R",0.922055500278045
5723,"RR_P76_CD3+_7500","CD8 Tc1 EM (1)","R/R",2.12083206994251
5724,"RR_P76_CD3+_7500","CD8 Tc1 EM (1)","R/R",1.86340781689046
5732,"RR_P76_CD3+_7500","CD4 Th1 EM GrB+","R/R",2.34558571480177
5739,"RR_P76_CD3+_7500","CD4 Th17 CXCR5+ CM","R/R",1.35939709164564
